stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
120455,1681,Kuuselantie E,,65.077101,25.398012,2,,0,,Europe/Helsinki
150052,2793,Keinäsentie P,,64.883473,25.572067,3,,0,,Europe/Helsinki
148437,1331,Jokikylän th E,,65.192947,25.451838,4,,0,,Europe/Helsinki
150394,1240,Päkkilä E,,65.29588,25.633587,4,,0,,Europe/Helsinki
184256,1224,Rajala P,,65.303567,25.54908,4,,0,,Europe/Helsinki
188497,1931,Porotie P,,65.033695,25.540665,2,,0,,Europe/Helsinki
98751,2819,Männikkö E,,64.862196,25.887576,4,,0,,Europe/Helsinki
121163,2577,Pitkämäki E,,64.943652,25.382378,3,,0,,Europe/Helsinki
307173,1610,Laivakankaan koulu P,,65.083848,25.704131,3,,0,,Europe/Helsinki
148436,1343,Onkamo th P,,65.18942300000002,25.4643,4,,0,,Europe/Helsinki
101674,1059,Kiimingin th P,,65.366933,25.818289,5,,0,,Europe/Helsinki
101290,1896,Linnakekuja P,,65.031797,26.058338,4,,0,,Europe/Helsinki
101548,1708,Kuivasojan koulu P,,65.072739,25.409627,2,,0,,Europe/Helsinki
97679,3039,Juotto P,,64.79292700000002,25.535264,4,,0,,Europe/Helsinki
120372,1592,Vaapukkatie E,,65.101016,25.409598,2,,0,,Europe/Helsinki
120964,2331,Snellmankoti E,,64.98312,25.492295,2,,0,,Europe/Helsinki
150355,1267,Ukkolanperän th E2,,65.229501,25.360988,3,,0,,Europe/Helsinki
148013,3050,Härmä E,,64.779707,25.641376,4,,0,,Europe/Helsinki
120356,1574,Alavainio P,,65.11182700000002,25.348269,3,,0,,Europe/Helsinki
120614,1864,Tullimiehentie P,,65.04521,25.444209,2,,0,,Europe/Helsinki
164363,3105,Alatalontie P,,65.07233100000002,25.480022,2,,0,,Europe/Helsinki
120397,1618,Kukkulatie E,,65.08891800000002,25.692821,3,,0,,Europe/Helsinki
101068,2525,Hailuodon risteys P,,64.956163,25.384544,3,,0,,Europe/Helsinki
188518,2701,Pirilä P,,64.916173,25.48756,3,,0,,Europe/Helsinki
171795,2514,Lentokentän th P,,64.956307,25.505023,2,,0,,Europe/Helsinki
183977,3195,Palhokuja P,,65.071365,25.447104,2,,0,,Europe/Helsinki
101546,1670,Keskuskatu P,,65.07884,25.408816,2,,0,,Europe/Helsinki
150146,2853,Oikotie th P,,64.85484700000002,25.488708,4,,0,,Europe/Helsinki
120595,1828,Tuhtotie E,,65.04856100000002,25.446371,2,,0,,Europe/Helsinki
120861,2199,Kollaanpuisto E,,65.00182,25.480321,2,,0,,Europe/Helsinki
121199,2623,Riisikuja E,,64.933628,25.402102,3,,0,,Europe/Helsinki
120717,2018,Kaplastie P,,65.022176,25.55914,2,,0,,Europe/Helsinki
101630,1451,Kanniainen E,,65.144977,25.666508,3,,0,,Europe/Helsinki
231430,3038,Juotto E,,64.792047,25.536995,4,,0,,Europe/Helsinki
190187,1878,Ukkolanmäki P,,65.032904,26.090837,4,,0,,Europe/Helsinki
120691,1988,Hoikantie P,,65.025851,25.497757,2,,0,,Europe/Helsinki
101675,1057,Halajärventie E,,65.368586,25.82432,5,,0,,Europe/Helsinki
101036,3023,Myllykuja E,,64.808148,25.392719,4,,0,,Europe/Helsinki
190193,2556,Virtaoja P,,64.946821,25.517275,2,,0,,Europe/Helsinki
148146,2630,Savikunnaksentie P,,64.92697200000002,25.796494,3,,0,,Europe/Helsinki
190203,9016,Oikoreitti E,,65.07015800000002,25.855757,3,,0,,Europe/Helsinki
148442,1316,Aseman koulu E,,65.19867600000002,25.392609,3,,0,,Europe/Helsinki
101278,1942,Rokkarannantie E,,65.02847,25.978002,4,,0,,Europe/Helsinki
184144,3245,Kiviharjuntie E,,65.009335,25.508548,1,,0,,Europe/Helsinki
98761,2888,Rönköntie E,,64.835753,25.910939,4,,0,,Europe/Helsinki
101541,1609,Herukka E,,65.096523,25.403823,2,,0,,Europe/Helsinki
120917,2270,Kallisensuora E,,64.992843,25.464806,2,,0,,Europe/Helsinki
121323,2871,Simontaival P,,64.845244,25.663492,4,,0,,Europe/Helsinki
120601,1843,Kornetintie P,,65.046281,25.612251,2,,0,,Europe/Helsinki
98493,1701,Välikuja P,,65.070053,25.653379,3,,0,,Europe/Helsinki
101035,3024,Myllykuja P,,64.808558,25.3908,4,,0,,Europe/Helsinki
